,Avicii
0,"Do you think about me when you're all alone?. The things we used to do we used to be. I could be the one to make you feel that way. I could be the one to set you freeDo you think about me when the crowd is gone?. It used to be so easy, you and me. I could be the one to make you feel that way. I could be the one to set you freeI could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you freeWhen you need a way to beat the pressure down. When you need to find a way to breathe. I could be the one to make you feel that way. I could be the one to set you freeIf you need to see me when the crowd is gone. It used to be so easy can't you see?. I could be the one to make you feel that way. I could be the one to set you free...I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free"
1,"Do you think about me when you're all alone?. The things we used to do we used to be. I could be the one to make you feel that way. I could be the one to set you freeDo you think about me when the crowd is gone?. It used to be so easy, you and me. I could be the one to make you feel that way. I could be the one to set you freeI could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you freeWhen you need a way to beat the pressure down. When you need to find a way to breathe. I could be the one to make you feel that way. I could be the one to set you freeIf you need to see me when the crowd is gone. It used to be so easy can't you see?. I could be the one to make you feel that way. I could be the one to set you free...I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free"
2,"Press play,. Fast forward. Nonstop, we have a beaten path. Before us. It was all there. In plain sight. Come on people,. We have all seen the signsSo we will never. Get back to. To the old school. To the old grounds,. It's all about the newfound. We are the newborn,. The world knew all about us.. (We are the future and we're here to stay). We've come a long way. Since that dayAnd we will neverLook back. At the faded silhouette. We've come a long way. Since that day. And we will neverLook back,. Look backAt the faded silhouette. (Music). Straight ahead. On the path. We have before us. Day by day, soon. The change will come. Don't you know. We took a big step forward. Just lead the way. And we pull the trigger. Now we will never. Get back to. To the old school. To the old grounds,. It's all about the newfound. We are the newborn,. The world knew all about us.. (We are the future and we're here to stay). We've come a long way. Since that day. And we will never. Look back. At the faded silhouette. We've come a long way. Since that day (that day...). We've come a long way. Since that day. And we will never. Look back,. At the faded silhouette. We've come a long way. Since that day. And we will never. Look back,. Look back,. At the faded silhouette. (Music)"
3,"Looking up there's always sky. Rest your head I'll take you high. We won't fade into darkness. Won't let you fade into darkness. Why worry now. You'll be safeHold my hand, just in case. And we won't fade into darkness. Fade into darkness. No we won't fade into darkness. Fade into darknessFade into darkness. Fade into darkness. Fade into darkness. Fade into darknessAnd we won't fade into darkness. Fade into darkness. No we won't fade into darknessThis world can seem cold and gray. But you and I are here today. And we won't fade into darkness. Fade into darkness. Nothing to fear but fear itself. We'll be ok just keep the faith. And we won't fade into darkness"
4,"You said that we would always be. Without you, I feel lost at sea. Through the darkness, you'd hide with me. Like the wind, we'd be wild and freeYou said you'd follow me anywhere. But your eyes tell me you won't be thereI've gotta learn how to love without you. I've gotta carry my cross without you. Stuck in the middle, and I'm just about to. Figure it out without youAnd I'm done sitting home without you. Fuck, I'm going out without you. I'm gonna tear this city down without you. I'm going Bonnie and Clyde without youNow I'm running away, my dear. From myself and the truth I fear. My heart is beating, I can't see clear. How I'm wishing that you were hereYou said you'd follow me anywhere. But your eyes tell me you won't be thereI've gotta learn how to love without you. I've gotta carry my cross without you. Stuck in the middle, and I'm just about to. Figure it out without youAnd I'm done sitting home without you. Fuck, I'm going out without you. I'm gonna tear this city down without you. I'm going Bonnie and Clyde without you"
5,"Feeling my way through the darkness. Guided by a beating heart. I can't tell where the journey will end. But I know where to startThey tell me I'm too young to understand. They say I'm caught up in a dream. Well, life will pass me by if I don't open up my eyes. Well, that's fine by meSo wake me up when it's all over. When I'm wiser and I'm older. All this time I was finding myself, and I. Didn't know I was lostSo wake me up when it's all over. When I'm wiser and I'm older. All this time I was finding myself, and I. Didn't know I was lostI tried carrying the weight of the world. But I only have two hands. Hope I get the chance to travel the world. But I don't have any plansWish that I could stay forever this young. Not afraid to close my eyes. Life's a game made for everyone. And love is the prizeSo wake me up when it's all over. When I'm wiser and I'm older. All this time I was finding myself, and I. Didn't know I was lostSo wake me up when it's all over. When I'm wiser and I'm older. All this time I was finding myself, and I. I didn't know I was lostI didn't know I was lost. I didn't know I was lost. I didn't know I was lost. I didn't know, didn't know, didn't know"
6,"Once upon a younger year. When all our shadows disappeared. The animals inside came out to play. Went face to face with all our fears. Learned our lessons through the tears. Made memories we knew would never fadeOne day my father, he told me. ""Son, don't let it slip away"". He took me in his arms, I heard him say. ""When you get older. Your wild heart will live for younger days. Think of me if ever you're afraid""He said: ""One day you'll leave this world behind. So live a life you will remember"". My father told me when I was just a child. ""These are the nights that never die"". My father told meWhen thunder clouds start pouring down. Light a fire they can't put out. Carve your name into those shining stars. He said: ""Go venture far beyond the shores. Don't forsake this life of yours. I'll guide you home, no matter where you are""One day my father, he told me. ""Son, don't let it slip away"". When I was just a kid, I heard him say. ""When you get older. Your wild heart will live for younger days. Think of me if ever you're afraid""He said: ""One day you'll leave this world behind. So live a life you will remember"". My father told me when I was just a child. ""These are the nights that never die"". My father told me""These are the nights that never die"". My father told me. My father told me"
7,"[Verse 1]. Under the tree where the grass don't grow. We made a promise to never get old. You had a chance and you took it on me. And I made a promise that I couldn't keepHeart ache, heart break. All over town. But something flipped like a switch when you came around. And I'm in pieces, pick me up, and put me togetherOoooohh[Chorus]. These are the days we've been waiting for. On days like these who could ask for more. Keep them coming. Cause we're not done yet. These are the days we won't regret. These are the days we won't forgetThese are the days we've been waiting for. Rattle the cage and slam that door. And the world is calling us. But not just yet. These are the days we won't regret. These are the days we won't forget[Verse 2]. Out on the midnight. The wild ones howl. Last of the lost boys have thrown in the towel. We used to believe we were stars aligned. You made a wish and I fell out of timeTime flew, cut through. All over town. You make me bleed when I look up. And you're not around. But I'm in pieces, pick me up, and put me togetherOoooohh[Chorus]. These are the days we've been waiting for. Neither of us knows what's in store. You just roll your window down place your bets. These are the days that we won't regret. These are the days we'll never forgetAnd these are the days (these are the days). and these are the days (these are the days)[Instrumental]"
8,"Where there's a will, there's a way, kind of beautiful. And every night has its day, so magical. And if there's love in this life, there's no obstacle. That can't be defeatedFor every tyrant, a tear for the vulnerable. In every lost soul, the bones of a miracle. For every dreamer, a dream, we're unstoppable. With something to believe inMonday left me broken. Tuesday, I was through with hoping. Wednesday, my empty arms were open. Thursday, waiting for love, waiting for loveThank the stars it's Friday. I'm burning like a fire gone wild on Saturday. Guess I won't be coming to church on Sunday. I'll be waiting for love, waiting for love to come aroundWe are one of a kind, irreplaceable. How did I get so blind and so cynical?. If there's love in this life, we're unstoppable. No, we can't be defeatedMonday left me broken. Tuesday, I was through with hoping. Wednesday, my empty arms were open. Thursday, waiting for love, waiting for loveThank the stars it's Friday. I'm burning like a fire gone wild on Saturday. Guess I won't be coming to church on Sunday. I'll be waiting for love, waiting for love to come around"
9,"Hey, brother. There's an endless road to rediscover.. Hey, sister. Know the water's sweet but blood is thicker.. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.Hey, brother. Do you still believe in one another?. Hey, sister. Do you still believe in love, I wonder?. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.What if I'm far from home?. Oh, brother. I will hear you call.. What if I lose it all?. Oh, sister. I will help you out!. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.Hey, brother. There's an endless road to rediscover.. Hey, sister. Do you still believe in love, I wonder?. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.What if I'm far from home?. Oh, brother. I will hear you call.. What if I lose it all?. Oh, sister. I will help you out!. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do."
