,Zedd
0,"Take a seat. Right over there, sat on the stairs. Stay or leave. The cabinets are bare and I'm unaware. Of just how we got into this mess. Got so aggressive. I know we meant. All good intentions. So pull me closer. Why don't you pull me close. Why don't you come on over. I can't just let you go. Oh baby. Why don't you just meet me in the middle. I'm losing my mind just a little. So why don't you just meet me in the middle. In the middle. Baby. Why don't you just meet me in the middle. I'm losing my mind just a little. So why don't you just meet me in the middle. In the middle. Take a step. Back for a minute, into the kitchen. Floors are wet. And taps are still running, dishes are broken. How did we get into this mess. Got so aggressive. I know we meant. All good intentions. So pull me closer. Why don't you pull me close. Why don't you come on over. I can't just let you go. Baby. Why don't you just meet me in the middle. I'm losing my mind just a little. So why don't you just meet me in the middle. In the middle. Looking at you I can't lie. Just pouring out admission. Regardless my objection. And it's not about my pride. I need you on my skin just. Come over, pull me in just. Oh, Baby. Why don't you just meet me in the middle. I'm losing my mind just a little. So why don't you just meet me in the middle. In the middle, no no. Baby. Why don't you just meet me in the middle. I'm losing my mind just a little. So why don't you just meet me in the middle. In the middle. Baby. Why don't you just meet me in the middle. Baby, I'm losing my mind just a little. So why don't you just meet me in the middle, middle. In the middle, middle"
1,"Stars fall at my feet, keep me grounded as I reach. Higher than I see, is there something there for me?. Pulling back the reins, letting go again. I'm not afraid, I'm notA promise with the light,. is broken by design. What we thought we knew,. has been swallowed by the truth. It's time to light the flame,. right before it rains. I'm not afraid, I'm not. All my life, one page at a time. I'll show you my, my true colors. No I won't apologize for the fire in my eyes. Let me show you my, my true colors, it ain't no rainbowIt ain't no rainbowRight before it rainsSomething tells me, I know nothing at all. We've escaped our capture. Yet we have our masters. And somehow it's like I've waited"
2,"I see what you're wearing, there's nothing beneath it. Forgive me for staring, forgive me for breathing. We might not know why, we might not know how. But baby, tonight, we're beautiful nowWe're beautiful now. We're beautiful nowWe might not know why, we might not know how. But baby, tonight, we're beautiful now. We'll light up the sky, we'll open the clouds. Cause baby, tonight, we're beautiful now, we're beautiful. We're beautifulWherever it's going, I'm gonna chase it. What's left of this moment, I'm not gonna waste it. Stranded together, our worlds have collided. This won't be forever, so why try to fight it?. We're beautiful now, beautiful nowWe might not know why, we might not know how. But baby, tonight, we're beautiful now. We'll light up the sky, we'll open the clouds. Cause baby, tonight, we're beautiful now, we're beautiful. We're beautifulLet's live tonight like fireflies. And one by one light up the sky. We disappear and pass the crown. You're beautiful, you're beautifulWe're beautiful now. We're beautiful now. We're beautiful now. We're beautiful nowWe're beautifulWe're beautiful, we're beautiful now. We're beautiful now. We're beautiful now. We're beautiful now. We're beautiful nowWe're beautiful"
4,"Waiting for the time to pass you by. Hope the winds of change will change your mind. I could give a thousand reasons why. And I know you, and you've got toMake it on your own, but we don't have to grow up. We can stay forever young. Living on my sofa, drinking rum and cola. Underneath the rising sunI could give a thousand reasons why. But you're going, and you know thatAll you have to do is stay a minute. Just take your time. The clock is ticking, so stay. All you have to do is wait a second. Your hands on mine. The clock is ticking, so stayAll you have to do is. All you have to do is stayWon't admit what I already know. I've never been the best at letting go. I don't wanna spend the night alone. Guess I need you, and I need toMake it on my own, but I don't wanna grow up. We can stay forever young. Living on my sofa, drinking rum and cola. Underneath the rising sunI could give a million reasons why. But you're going, and you know thatAll you have to do is stay a minute. Just take your time. The clock is ticking, so stay. All you have to do is wait a second. Your hands on mine. The clock is ticking, so stayAll you have to do is. All you have to do is stay. All you have to do is stay. So stay, yeahAll you have to do is stay a minute. Just take your time. The clock is ticking, so stay. All you have to do is wait a second. Your hands on mine. The clock is ticking, so stayAll you have to do is stay"
5,"High dive into frozen waves. Where the past comes back to life. Fight fear for the selfish pain. It was worth it every timeHold still right before we crash. 'Cause we both know how this ends. A clock ticks till it breaks your glass. And I drown in you again'Cause you are the piece of me. I wish I didn't need. Chasing relentlessly. Still fight and I don't know whyIf our love is tragedy, why are you my remedy?. If our love's insanity, why are you my clarity?If our love is tragedy, why are you my remedy?. If our love's insanity, why are you my clarity?Walk on through a red parade. And refuse to make amends. It cuts deep through our ground. And makes us forget all common senseDon't speak as I try to leave. 'Cause we both know what we'll choose. If you pull, then I'll push too deep. And I'll fall right back to you'Cause you are the piece of me. I wish I didn't need. Chasing relentlessly. Still fight and I don't know whyIf our love is tragedy, why are you my remedy?. If our love's insanity, why are you my clarity?Why are you my clarity?. Why are you my remedy?. Why are you my clarity?. Why are you my remedy?If our love is tragedy, why are you my remedy?. If our love's insanity, why are you my clarity?"
6,Silent love is calling faith. To shatter me through your hallways. Into echoes you can feel. And rehearse the way you healMake them dance. Just like you. 'Cause you make me move. Yeah you always make me goI'll run away with your foot steps. I'll build a city that dreams for two. And if you lose yourself. I will find youHigh on words. We almost used. We're fireworks with a wet fuse. Flying planes with paper wheels. To the same Achilles heelsMake them dance. Just like you. 'Cause you make me move. Yeah you always make me goI'll run away with your foot steps. I'll build a city that dreams for two. And if you lose yourself. I will find you(Yeah you always make me go)Open up your skies. Turn up your night. To the speed of life. Turn up your night. Put your love in lights. Turn up your night. I will find youMake them dance. Just like you. 'Cause you make me move. Yeah you always make me go(Yeah you always make me go)I'll run away with your foot steps. I'll build a city that dreams for two. And if you lose yourself. I will find youTurn up your night. (Go go go go). Turn up your night. Turn up your night. I will find youMake them dance. Just like you. 'Cause you make me move. Yeah you always make me go
7,I want you to know that it's our time. You and me bleed the same light. I want you to know that I'm all yours. You and me run the same courseI'm slippin down a chain reaction. And here I go here I go here I go go. And once again I'm yours in fractions. It takes me down pulls me down pulls me down lowHoney it's raining tonight. But storms always have an eye have an eye. Tell me you're covered tonight. Or tell me lies tell me lies liesI want you to know that it's our time. You and me bleed the same light. I want you to know that I'm all yours. You and me we're the same force. I want you to know that it's our time. You and me bleed the same light. I want you to know that I'm all yours. You and me run the same courseI want you to know that it's our time. You and me bleed the same lightI'm better under your reflection. But did you know did you know did you know know?. That's anybody else that's met ya. It's all the same all the same all the same glowHoney it's raining tonight. But storms always have an eye have an eye. Tell me you're covered tonight. Or tell me lies tell me lies liesI want you to know that it's our time. You and me bleed the same light. I want you to know that I'm all yours. You and me we're the same force. I want you to know that it's our time. You and me bleed the same light. I want you to know that I'm all yours. You and me run the same course. You and me run the same course. I want you to know that it's our time. You and me bleed the same light. I want you to know that I'm all yours. You and me run the same course
8,"I see what you're wearing. There's nothing beneath it. Forgive me for staring. Forgive me for breathingWe might not know why. We might not know how. But, baby, tonight. We're beautiful nowWe're beautiful now. We're beautiful nowWe might not know why. We might not know how. But, baby, tonight. We're beautiful nowWe'll light up the sky. We'll open the clouds. 'Cause, baby, tonight. We're beautiful now. We're beautifulWe're beautifulWherever it's going. I'm gonna chase it. What's left of this moment. I'm not gonna waste itStranded together. Our worlds have collided. This won't be forever. So, why try to fight it?We're beautiful now. We're beautiful nowWe might not know why. We might not know how. But, baby, tonight. We're beautiful nowWe'll light up the sky. We'll open the clouds. 'Cause, baby, tonight. We're beautiful now. We're beautifulWe're beautifulLet's live tonight like fireflies. And one by one, light up the sky. We disappear and pass the crown. You're beautiful, you're beautifulWe're beautiful now. We're beautiful now (beautiful). We're beautiful now. We're beautiful now. We're beautifulWe're beautiful. We're beautiful nowWe're beautiful now. We're beautiful now. We're beautiful now. We're beautiful nowWe're beautiful"
9,"I know that we are upside down. So hold your tongue and hear me out. I know that we were made to break. So What? I don't mind.You kill the lights, I'll draw the blinds. Don't dull the sparkle in your eyes. I know that we were made to break. So What? I don't mind.Are you gonna stay the night. Are you gonna stay the night. Oh oh oh, are you gonna stay the night?Are you gonna stay the night. Doesn't mean we're bound for life. So oh oh, are you gonna stay the night?Are you gonna stay the night. Doesn't mean we're bound for life. So oh oh, are you gonna stay the night?I am fire, gasoline, come pour yourself all over me. We'll let this place go down in flames only on more time.You kill the lights, I'll draw the blinds. Don't dull the sparkle in your eyes. I know that we were made to break. So What? I don't mind.Are you gonna stay the night. Are you gonna stay the night. Oh oh oh, are you gonna stay the night?Are you gonna stay the night. Doesn't mean we're bound for life. So oh oh, are you gonna stay the night?. Night night night night night...Are you gonna stay the night.Are you gonna stay the night. Doesn't mean we're bound for life. So oh oh, are you gonna stay the night?"
10,"I was a boat driftin' out into the sea. I had nothing but pieces. Of thoughts of the hope. That you would see meI was a stone's throw away from land. But thousands and thousands. Of miles away. From reaching your handThe waves, they crashed. Upon the rocks that you. Were trying to walk along. And in my head I heard them. Playing a song for you and meThe waves, they crashed. Upon the rocks that you. Were trying to step along. And in my head I heard them. Playing a song for you and meLet's get lost at sea. Where they will never find us. Got stars at night to guide usLost at sea. Where they will never find us. Got stars at night to guide usI was a boat driftin' out into the sea. I had nothing but pieces. Of thoughts of the hope. That you would see meI was a stone's throw away from land. But thousands and thousands. Of miles away. From reaching your handThe waves, they crashed. Upon the rocks that you. Were trying to walk along. And in my head I heard them. Playing a song for you and meThe waves, they crashed. Upon the rocks that you. Were trying to step along. And in my head I heard them. Playing a song for you and meLet's get lost at sea. Where they will never find us. Got stars at night to guide usLost at sea. Where they will never find us. Got stars at night to guide us"
