,Unnamed: 0,bounds,labels,bounds_percent
0,0,14.0,1,10
1,1,43.0,2,20
2,2,69.0,1,30
3,3,80.0,4,40
4,4,201.0,2,100
5,0,42.0,1,20
6,1,91.0,2,50
7,2,132.0,1,70
8,3,174.0,2,90
9,4,187.0,3,100
10,0,57.0,1,20
11,1,96.0,2,40
12,2,129.0,1,50
13,3,230.0,2,100
14,4,237.0,3,100
15,0,33.0,1,20
16,1,80.0,2,50
17,2,122.0,2,70
18,3,135.0,2,80
19,4,167.0,3,100
20,0,40.0,1,20
21,1,50.0,2,20
22,2,109.0,3,50
23,3,118.0,2,60
24,4,206.0,3,100
25,0,13.0,1,10
26,1,63.0,2,30
27,2,209.0,2,90
28,3,228.0,2,90
29,4,239.0,3,100
